date,exporter,import_quantity_actual,import_quantity_pred,unit_price_actual,unit_price_pred
2018-01-01,US,5814260.138,5548262.11,421.5243033213555,465.6087131037748
2018-02-01,US,3344520.034,5814260.138,419.49945126254266,421.5243033213555
2018-03-01,US,3100550.194,3344520.034,422.1350025335464,419.49945126254266
2018-04-01,US,2418940.121,3100550.194,427.9815539921636,422.1350025335464
2018-05-01,US,489540.0,2418940.121,439.0093679772051,427.9815539921636
2018-06-01,US,630253.0,489540.0,438.22257252176786,439.0093679772051
2018-07-01,US,308127.161,630253.0,443.2351908099291,438.22257252176786
2018-08-01,US,265378.0,308127.161,439.70876636179446,443.2351908099291
2018-09-01,US,132248.0,265378.0,434.1906115749637,439.70876636179446
2018-10-01,US,66955.2,132248.0,448.59615085238204,434.1906115749637
2018-12-01,US,69298.5,66955.2,452.8465118227257,448.59615085238204
2019-01-01,US,135772.0,69298.5,459.00637833677774,452.8465118227257
2019-02-01,US,907937.0,135772.0,404.0404774776179,459.00637833677774
2019-03-01,US,1510880.0,907937.0,400.98297680795235,404.0404774776179
2019-04-01,US,1754610.0,1510880.0,399.3143798334677,400.98297680795235
2019-05-01,US,906139.0,1754610.0,401.1037655366328,399.3143798334677
2019-06-01,US,614806.0,906139.0,394.6036896185226,401.1037655366328
2019-07-01,US,911874.0,614806.0,393.3510386299057,394.6036896185226
2019-08-01,US,1674990.0,911874.0,395.62568492922605,393.3510386299057
2019-09-01,US,1729780.0,1674990.0,387.2071338549485,395.62568492922605
2019-10-01,US,1147340.0,1729780.0,384.82971830461344,387.2071338549485
2019-11-01,US,2557040.0,1147340.0,387.2046010229065,384.82971830461344
2019-12-01,US,3092570.0,2557040.0,393.76509246342243,387.2046010229065
2020-01-01,US,3393930.0,3092570.0,403.64499562442256,393.76509246342243
2020-02-01,US,2707350.0,3393930.0,406.08383880901766,403.64499562442256
2020-03-01,US,1711660.0,2707350.0,405.13712770035806,406.08383880901766
2020-04-01,US,665591.0,1711660.0,397.2305575039368,405.13712770035806
2020-05-01,US,491461.0,665591.0,383.17494979177764,397.2305575039368
2020-06-01,US,267553.0,491461.0,399.46547412886616,383.17494979177764
2020-07-01,US,38331.3,267553.0,419.819990440715,399.46547412886616
2020-08-01,US,166370.0,38331.3,379.78378914239477,419.819990440715
2020-09-01,US,1168070.0,166370.0,391.8601359504209,379.78378914239477
2020-10-01,US,3389380.0,1168070.0,400.58749741828876,391.8601359504209
2020-11-01,US,6039990.0,3389380.0,415.1046312989897,400.58749741828876
2020-12-01,US,5834470.0,6039990.0,432.96246154313366,415.1046312989897
2021-01-01,US,6667970.0,5834470.0,456.4251140901269,432.96246154313366
2021-02-01,US,5259340.0,6667970.0,486.6733358177097,456.4251140901269
