period,partner_desc,net_weight_tons,primary_value_usd,quantity_tons,value_usd,tariff_rate,data_quality_score
202303,Brazil,1671330.0,1096867732.0,1671330.0,1096867732.0,0.03,100
202303,Argentina,72600.0,44917103.0,72600.0,44917103.0,0.03,100
202304,Brazil,5296010.0,3336751602.0,5296010.0,3336751602.0,0.03,100
202304,USA,1761656.101,1172412162.0,1761656.101,1172412162.0,0.03,100
202305,Brazil,10933700.0,6684071520.0,10933700.0,6684071520.0,0.03,100
202305,USA,938061.14,606874668.0,938061.14,606874668.0,0.03,100
202306,Brazil,9529330.0,5609677719.0,9529330.0,5609677719.0,0.03,100
202306,USA,527823.293,337967144.0,527823.293,337967144.0,0.03,100
202307,Brazil,9229210.0,5179313692.0,9229210.0,5179313692.0,0.03,100
202307,USA,142149.666,89757843.0,142149.666,89757843.0,0.03,100
202307,Argentina,118092.0,69088653.0,118092.0,69088653.0,0.03,100
202308,Brazil,9087190.0,5051024950.0,9087190.0,5051024950.0,0.03,100
202308,USA,120072.92,75472532.0,120072.92,75472532.0,0.03,100
202308,Argentina,360.78,211673.0,360.78,211673.0,0.03,100
202309,Brazil,6881450.0,3915842169.0,6881450.0,3915842169.0,0.03,100
202309,USA,133692.46,83364573.0,133692.46,83364573.0,0.03,100
202310,Brazil,4814110.0,2742122513.0,4814110.0,2742122513.0,0.03,100
202310,USA,228254.0,135571522.0,228254.0,135571522.0,0.03,100
202310,Argentina,1077.482,667075.0,1077.482,667075.0,0.03,100
202311,Brazil,5289240.025,3015287120.0,5289240.025,3015287120.0,0.03,100
202311,USA,2292910.0,1338317402.0,2292910.0,1338317402.0,0.03,100
202311,Argentina,54214.113,31545052.0,54214.113,31545052.0,0.03,100
202312,Brazil,4979410.0,2855054812.0,4979410.0,2855054812.0,0.03,100
202312,USA,3849030.0,2221650246.0,3849030.0,2221650246.0,0.03,100
202312,Argentina,389433.0,220680275.0,389433.0,220680275.0,0.03,100
202401,Brazil,4074670.0,2326011819.0,4074670.0,2326011819.0,0.03,100
202401,USA,3325980.0,1914862566.0,3325980.0,1914862566.0,0.03,100
202401,Argentina,159525.0,89946714.0,159525.0,89946714.0,0.03,100
202402,Brazil,2888840.0,1615861513.0,2888840.0,1615861513.0,0.03,100
202402,USA,1631120.0,925367128.0,1631120.0,925367128.0,0.03,100
202402,Argentina,52967.0,30924940.0,52967.0,30924940.0,0.03,100
202403,Brazil,3022410.0,1579720308.0,3022410.0,1579720308.0,0.03,100
202403,USA,2179490.0,1252172404.0,2179490.0,1252172404.0,0.03,100
202404,Brazil,5914640.0,2837134234.0,5914640.0,2837134234.0,0.03,100
202404,USA,2445730.0,1417607760.0,2445730.0,1417607760.0,0.03,100
